family,CEP,leaky,migration
entity_memory,0.0,0.13353830108083986,-0.13353830108083986
D_columns,0.02946706840134618,0.0947852369165067,-0.06531816851516052
missingness,0.004791714191108444,0.019930295021330282,-0.015138580830221838
M_columns,0.01619385981517892,0.021380165549961565,-0.005186305734782647
velocity,0.00591310431489568,0.010925835769480662,-0.005012731454584982
id_columns,0.007144954137338893,0.0041034745258558165,0.0030414796114830766
C_columns,0.04478116884456981,0.02721601506012473,0.017565153784445082
behaviour,0.09395107753662402,0.07405062092827946,0.019900456608344552
association_risk,0.09340132743395693,0.06446588308875802,0.028935444345198916
identity_proxy,0.12009095541974774,0.0458134281318645,0.07427752728788323
V_columns,0.5842647699052333,0.5037907439269985,0.08047402597823483
