window,day_start,n,js_divergence,top_regime,nearest_fold_day,day_start_fold,auprc,auprc_lift,base_rate
0,0,203,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
1,7,295,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
2,14,403,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
3,21,428,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
4,28,500,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
5,35,495,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
6,42,587,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
7,49,593,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
8,56,606,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
9,63,661,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
10,70,632,0.0,0,60,60,0.07653123129583624,1.5717891518410003,0.04869052010328292
11,77,615,0.0,0,90,90,0.09253285682332771,1.7318649554095793,0.053429602888086646
12,84,618,0.0,0,90,90,0.09253285682332771,1.7318649554095793,0.053429602888086646
13,91,640,0.0,0,90,90,0.09253285682332771,1.7318649554095793,0.053429602888086646
14,98,620,0.0,0,90,90,0.09253285682332771,1.7318649554095793,0.053429602888086646
15,105,640,0.0,0,90,90,0.09253285682332771,1.7318649554095793,0.053429602888086646
16,112,672,0.0,0,120,120,0.09809534528866384,2.2094808724541903,0.04439746300211417
17,119,652,0.0,0,120,120,0.09809534528866384,2.2094808724541903,0.04439746300211417
18,126,647,0.0,0,120,120,0.09809534528866384,2.2094808724541903,0.04439746300211417
19,133,666,0.0,0,120,120,0.09809534528866384,2.2094808724541903,0.04439746300211417
20,140,688,0.0,0,150,150,0.06867184756694912,1.9126129426319591,0.03590472804834696
21,147,678,0.0,0,150,150,0.06867184756694912,1.9126129426319591,0.03590472804834696
22,154,630,0.0,0,150,150,0.06867184756694912,1.9126129426319591,0.03590472804834696
23,161,657,0.0,0,150,150,0.06867184756694912,1.9126129426319591,0.03590472804834696
24,168,701,0.0,0,180,180,0.18740225694007207,4.229936656647341,0.04430379746835443
25,175,601,0.0,0,180,180,0.18740225694007207,4.229936656647341,0.04430379746835443
