n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,condition
2711,0.04869052010328292,0.4440701486079865,0.7459227795598481,9.120258885426148,0.032109784929977604,0.02937814533465678,0.07214018055506137,0.013389441469013007,5.387840913455155,35,97,0.0738612651373303,0.05291359678499665,1.3958844158232169,1493,79,0.550719291774253,0.1839966033651001,0.20454545454545456,1.0,0.01,27,35,0.0,,,,0,60,90,3838,2711,0.049244398124022926,0.04869052010328292,0,0,lightgbm,False,0,221,0,rung2_full
2711,0.04869052010328292,0.1387205536053926,0.6945668393904143,2.849025915334995,0.045361825144621164,0.027818540126386394,0.023217246557876166,0.013389441469013007,1.7339966429225226,35,97,0.08627874007648528,0.05048661800486618,1.7089427552499012,1644,83,0.6064182958317964,0.06557899106955697,0.07575757575757576,0.37037037037037035,0.01,27,35,0.08571428571428572,1.0,37.82555555555555,0.0,0,60,90,2439,2711,0.04920049200492005,0.04869052010328292,0,0,lightgbm,False,0,221,0,rung2_size_matched
2711,0.04869052010328292,0.08074290380477413,0.6067274137262506,1.6582879713238081,0.04784285707975718,0.04272362423437067,0.07415863482459167,0.013389441469013007,5.5385906123280755,35,97,0.08074290380477413,0.04869052010328292,1.6582879713238081,2711,132,1.0,0.030646125473213225,0.022727272727272728,0.1111111111111111,0.01,27,35,0.08571428571428572,0.0,0.0,0.0,0,60,90,2439,2711,0.06068060680606806,0.04869052010328292,1399,0,lightgbm,False,0,221,0,rung3_entity_disjoint
2770,0.053429602888086646,0.5195098057973004,0.7730894510070712,9.723257851746771,0.030734623497708818,0.02818603726566894,0.06425858689394297,0.01093926820067899,5.874121167442856,29,119,0.06217489521832369,0.04482132041187159,1.3871723243980056,1651,74,0.596028880866426,0.14119754006474938,0.1891891891891892,1.0,0.01,28,29,0.0,,,,1,90,120,6549,2770,0.04901511681172698,0.053429602888086646,0,0,lightgbm,False,0,221,0,rung2_full
2770,0.053429602888086646,0.47797637769284645,0.8052729502958336,8.945909231143139,0.03421696689183596,0.02826831435917297,0.04613072384971632,0.01093926820067899,4.216984445710274,29,119,0.08170850137451138,0.05205320994794679,1.5697110986281133,1729,90,0.6241877256317689,0.13955388313431255,0.1891891891891892,1.0,0.01,28,29,0.0,,,,1,90,120,5108,2770,0.04933437744714174,0.053429602888086646,0,0,lightgbm,False,0,221,0,rung2_size_matched
2770,0.053429602888086646,0.06789867439835647,0.5476967241841384,1.2708062708341041,0.052922310147515764,0.04931863478277621,0.06612680751887932,0.01093926820067899,6.044902301122383,29,119,0.06789867439835647,0.053429602888086646,1.2708062708341041,2770,148,1.0,0.02879521153588812,0.02702702702702703,0.14285714285714285,0.01,28,29,0.13793103448275862,0.0,0.0,0.25,1,90,120,5108,2770,0.04757243539545811,0.053429602888086646,1441,0,lightgbm,False,0,221,0,rung3_entity_disjoint
2838,0.04439746300211417,0.48491332630243894,0.784470548297982,10.92209539719303,0.026970719883185973,0.02512109846846136,0.04637448932241084,0.009857612267250822,4.704434305706788,27,99,0.059827094527668004,0.046924540266328474,1.2749638928396276,1577,74,0.5556730091613813,0.14768691349242735,0.2222222222222222,1.0,0.01,28,27,0.0,,,,2,120,150,9319,2838,0.05032728833565833,0.04439746300211417,0,0,lightgbm,False,0,221,0,rung2_full
2838,0.04439746300211417,0.5195735469886931,0.8465374350330102,11.702775605983419,0.026721398097208526,0.024003223976006564,0.030974102718608273,0.009857612267250822,3.1421506424543724,27,99,0.07976838760473845,0.04610591900311527,1.730111650075746,1605,74,0.5655391120507399,0.14325099159772145,0.2222222222222222,1.0,0.01,28,27,0.0,,,,2,120,150,7879,2838,0.050640944282269326,0.04439746300211417,0,0,lightgbm,False,0,221,0,rung2_size_matched
2838,0.04439746300211417,0.06227340470231225,0.6252516739242403,1.4026343059139852,0.04413518627106287,0.0414426459266354,0.03812258510736468,0.009857612267250822,3.867324467002661,27,99,0.06227340470231225,0.04439746300211417,1.4026343059139852,2838,126,1.0,0.0015328098908450073,0.007936507936507936,0.03571428571428571,0.01,28,27,0.037037037037037035,0.0,0.0,0.0,2,120,150,7879,2838,0.051021703261835256,0.04439746300211417,1440,0,lightgbm,False,0,221,0,rung3_entity_disjoint
2813,0.03590472804834696,0.4408626364284317,0.7898230088495576,12.278679171021567,0.023254473420184576,0.021059327325997024,0.05624118603700628,0.009495982468955442,5.922629514204738,26,75,0.058573936598795194,0.035021888680425266,1.6724950825263127,1599,56,0.5684322787060079,0.1787066733399092,0.27722772277227725,1.0,0.01,28,26,0.0,,,,3,150,180,12157,2813,0.04894299580488607,0.03590472804834696,0,0,lightgbm,False,0,221,0,rung2_full
