n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,n_monotone
2711,0.04869052010328292,0.09080023100476295,0.6316107958217304,1.864844138287215,0.08475550219975256,0.09541287408518259,0.03105804663347081,0.013389441469013007,2.3195923971397914,35,97,0.09080023100476295,0.04869052010328292,1.864844138287215,2711,132,1.0,0.027425351974101248,0.03787878787878788,0.18518518518518517,0.01,27,35,0.11428571428571428,0.0,0.0,0.25,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,logreg,False,0.0,221,0,
2770,0.053429602888086646,0.12773838159258827,0.6627522831756241,2.3907791689964153,0.1365213392009729,0.17276879304210316,0.0580032018665761,0.01093926820067899,5.302292694768732,29,119,0.12773838159258827,0.053429602888086646,2.3907791689964153,2770,148,1.0,0.03451018683579485,0.05405405405405406,0.2857142857142857,0.01,28,29,0.20689655172413793,0.5,90.26763888888888,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,logreg,False,0.0,221,0,
2838,0.04439746300211417,0.08607503625193012,0.6569684412604766,1.9387377212934735,0.10418504138362762,0.15262097394862048,0.015180840328711856,0.009857612267250822,1.5400119133459915,27,99,0.08607503625193012,0.04439746300211417,1.9387377212934735,2838,126,1.0,0.009985387995011709,0.007936507936507936,0.03571428571428571,0.01,28,27,0.037037037037037035,1.0,15.715277777777779,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,logreg,False,0.0,221,0,
2813,0.03590472804834696,0.0888887076974671,0.717540669996203,2.4756825223066823,0.12015007115872298,0.20988048775765716,0.021633354660532733,0.009495982468955442,2.278158656174562,26,75,0.0888887076974671,0.03590472804834696,2.4756825223066823,2813,101,1.0,0.01898009235121556,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,1.0,39.533611111111114,0.3333333333333333,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,logreg,False,0.0,221,0,
158,0.04430379746835443,0.1918403869352064,0.5033112582781457,4.33011159082323,0.11939684105866251,0.19060559964957227,,,,0,7,0.1918403869352064,0.04430379746835443,4.33011159082323,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,logreg,False,0.0,221,0,
2711,0.04869052010328292,0.09080023100476295,0.6316107958217304,1.864844138287215,0.08475550219975256,0.09541287408518259,0.03105804663347081,0.013389441469013007,2.3195923971397914,35,97,0.09080023100476295,0.04869052010328292,1.864844138287215,2711,132,1.0,0.027425351974101248,0.03787878787878788,0.18518518518518517,0.01,27,35,0.11428571428571428,0.0,0.0,0.25,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,logreg,False,0.0,221,1,
2770,0.053429602888086646,0.12773838159258827,0.6627522831756241,2.3907791689964153,0.1365213392009729,0.17276879304210316,0.0580032018665761,0.01093926820067899,5.302292694768732,29,119,0.12773838159258827,0.053429602888086646,2.3907791689964153,2770,148,1.0,0.03451018683579485,0.05405405405405406,0.2857142857142857,0.01,28,29,0.20689655172413793,0.5,90.26763888888888,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,logreg,False,0.0,221,1,
2838,0.04439746300211417,0.08607503625193012,0.6569684412604766,1.9387377212934735,0.10418504138362762,0.15262097394862048,0.015180840328711856,0.009857612267250822,1.5400119133459915,27,99,0.08607503625193012,0.04439746300211417,1.9387377212934735,2838,126,1.0,0.009985387995011709,0.007936507936507936,0.03571428571428571,0.01,28,27,0.037037037037037035,1.0,15.715277777777779,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,logreg,False,0.0,221,1,
2813,0.03590472804834696,0.0888887076974671,0.717540669996203,2.4756825223066823,0.12015007115872298,0.20988048775765716,0.021633354660532733,0.009495982468955442,2.278158656174562,26,75,0.0888887076974671,0.03590472804834696,2.4756825223066823,2813,101,1.0,0.01898009235121556,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,1.0,39.533611111111114,0.3333333333333333,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,logreg,False,0.0,221,1,
158,0.04430379746835443,0.1918403869352064,0.5033112582781457,4.33011159082323,0.11939684105866251,0.19060559964957227,,,,0,7,0.1918403869352064,0.04430379746835443,4.33011159082323,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,logreg,False,0.0,221,1,
