n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,n_monotone,n_features,seed,ablation
2711,0.04869052010328292,0.07630273469789989,0.6215910559648443,1.567096316409141,0.050297933785713664,0.05159509972201467,0.016590239287555632,0.013389441469013007,1.239053871362012,35,97,0.07630273469789989,0.04869052010328292,1.567096316409141,2711,132,1.0,0.014582712521458345,0.015151515151515152,0.07407407407407407,0.01,27,35,0.0,,,,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,19,221,0,full
2770,0.053429602888086646,0.09085049820849869,0.6320840291092008,1.7003775678212254,0.05333230322818425,0.053352422474327546,0.03717439704429664,0.01093926820067899,3.398252640152772,29,119,0.09085049820849869,0.053429602888086646,1.7003775678212254,2770,148,1.0,0.011615917377783228,0.02027027027027027,0.10714285714285714,0.01,28,29,0.06896551724137931,1.0,105.91916666666667,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,19,221,0,full
2838,0.04439746300211417,0.1062299857191857,0.6778076274757692,2.3927039640559444,0.044132154191938555,0.04429635406417573,0.03158210479220189,0.009857612267250822,3.203829075031147,27,99,0.1062299857191857,0.04439746300211417,2.3927039640559444,2838,126,1.0,0.05728741263388186,0.047619047619047616,0.21428571428571427,0.01,28,27,0.07407407407407407,0.5,27.77263888888889,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,19,221,0,full
2813,0.03590472804834696,0.07733688429442914,0.7174055901165338,2.1539470843587045,0.03622378765213765,0.036650928680204795,0.01862339845486552,0.009495982468955442,1.9611871142085304,26,75,0.07733688429442914,0.03590472804834696,2.1539470843587045,2813,101,1.0,0.011887547902400706,0.009900990099009901,0.03571428571428571,0.01,28,26,0.038461538461538464,3.0,306.0877777777778,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,19,221,0,full
158,0.04430379746835443,0.2483695416644998,0.7682119205298013,5.606055368998709,0.04430379746835443,0.04430379746835443,,,,0,7,0.2483695416644998,0.04430379746835443,5.606055368998709,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,19,221,0,full
2711,0.04869052010328292,0.07919149068873507,0.6285675678851328,1.6264252367966727,0.05021422942003616,0.05171873690572232,0.017640221537287958,0.013389441469013007,1.317472545670592,35,97,0.07919149068873507,0.04869052010328292,1.6264252367966727,2711,132,1.0,0.011947700022436513,0.015151515151515152,0.07407407407407407,0.01,27,35,0.05714285714285714,1.5,150.94416666666666,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,19,221,1,full
2770,0.053429602888086646,0.10636613199912792,0.6383820891830045,1.9907715245782724,0.05338810296737541,0.0534462801485691,0.031230477184740084,0.01093926820067899,2.8548963798877915,29,119,0.10636613199912792,0.053429602888086646,1.9907715245782724,2770,148,1.0,0.028237064586108928,0.02702702702702703,0.14285714285714285,0.01,28,29,0.06896551724137931,1.0,105.91916666666667,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,19,221,1,full
2838,0.04439746300211417,0.10095738260991,0.6771286931685161,2.2739448559279727,0.044172022068497276,0.04433592857984401,0.020449012605529664,0.009857612267250822,2.074438723205398,27,99,0.10095738260991,0.04439746300211417,2.2739448559279727,2838,126,1.0,0.04170140191205618,0.05555555555555555,0.25,0.01,28,27,0.1111111111111111,1.0,12.874166666666667,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,19,221,1,full
2813,0.03590472804834696,0.07716184432921626,0.7197384561464996,2.1490719613671816,0.03612917349823907,0.03624993654413573,0.015304489282602397,0.009495982468955442,1.6116804482986677,26,75,0.07716184432921626,0.03590472804834696,2.1490719613671816,2813,101,1.0,0.012912844498829292,0.019801980198019802,0.07142857142857142,0.01,28,26,0.038461538461538464,3.0,306.0877777777778,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,19,221,1,full
158,0.04430379746835443,0.2647832314768643,0.7729422894985809,5.9765357961920795,0.04430379746835443,0.04430379746835443,,,,0,7,0.2647832314768643,0.04430379746835443,5.9765357961920795,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,19,221,1,full
2711,0.04869052010328292,0.08480737152167844,0.6338109673704866,1.7417635166308354,0.04977846477556149,0.05086238557765435,0.01994781091643205,0.013389441469013007,1.4898165067300966,35,97,0.08480737152167844,0.04869052010328292,1.7417635166308354,2711,132,1.0,0.04616600780183995,0.022727272727272728,0.1111111111111111,0.01,27,35,0.05714285714285714,1.5,150.94416666666666,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,0,190,0,no_riskB
2770,0.053429602888086646,0.09249800266380412,0.6193126765209145,1.7312126174239013,0.05321906320752848,0.05333184323416886,0.028206025236785427,0.01093926820067899,2.5784197552661436,29,119,0.09249800266380412,0.053429602888086646,1.7312126174239013,2770,148,1.0,0.01539658261274129,0.02702702702702703,0.14285714285714285,0.01,28,29,0.13793103448275862,1.5,112.52416666666667,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,0,190,0,no_riskB
2838,0.04439746300211417,0.11902379574472968,0.7039553776279439,2.6808693041551015,0.044098193470633255,0.044202258273845815,0.03772215894205244,0.009857612267250822,3.8267034571215417,27,99,0.11902379574472968,0.04439746300211417,2.6808693041551015,2838,126,1.0,0.04068054624243719,0.03968253968253968,0.17857142857142858,0.01,28,27,0.07407407407407407,0.5,6.437083333333334,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,0,190,0,no_riskB
2813,0.03590472804834696,0.06541568855083572,0.6914264435293087,1.821924078153474,0.036038707249677955,0.036348371717368544,0.013006584257751308,0.009495982468955442,1.3696933729893492,26,75,0.06541568855083572,0.03590472804834696,1.821924078153474,2813,101,1.0,0.01610822728711548,0.019801980198019802,0.07142857142857142,0.01,28,26,0.038461538461538464,3.0,306.0877777777778,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,0,190,0,no_riskB
158,0.04430379746835443,0.16812403658885533,0.7511825922421949,3.794799683005592,0.04430379746835443,0.04430379746835443,,,,0,7,0.16812403658885533,0.04430379746835443,3.794799683005592,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,0,190,0,no_riskB
2711,0.04869052010328292,0.07917503280938334,0.6298130588553232,1.6260872268654414,0.0504681964269481,0.05252041142872694,0.017426334195901432,0.013389441469013007,1.301498216802467,35,97,0.07917503280938334,0.04869052010328292,1.6260872268654414,2711,132,1.0,0.014582712521458345,0.015151515151515152,0.07407407407407407,0.01,27,35,0.0,,,,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,0,190,1,no_riskB
2770,0.053429602888086646,0.1003394241983032,0.6154292164017565,1.8779743583060802,0.052746287188951295,0.05227595456452108,0.03126950586942678,0.01093926820067899,2.8584641399948407,29,119,0.1003394241983032,0.053429602888086646,1.8779743583060802,2770,148,1.0,0.0370173300203161,0.05405405405405406,0.2857142857142857,0.01,28,29,0.20689655172413793,1.0,96.87263888888889,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,0,190,1,no_riskB
2838,0.04439746300211417,0.11995482350087708,0.7092083391862153,2.7018395959959456,0.04402774007752081,0.04393106763161611,0.0250041542269502,0.009857612267250822,2.53653253435617,27,99,0.11995482350087708,0.04439746300211417,2.7018395959959456,2838,126,1.0,0.04538618664278822,0.05555555555555555,0.25,0.01,28,27,0.14814814814814814,0.5,6.437083333333334,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,0,190,1,no_riskB
2813,0.03590472804834696,0.07734367542712357,0.7082092058763398,2.1541362274900853,0.03602237453327138,0.036172806787866475,0.01717169365369753,0.009495982468955442,1.808311431685532,26,75,0.07734367542712357,0.03590472804834696,2.1541362274900853,2813,101,1.0,0.03490449503020372,0.039603960396039604,0.14285714285714285,0.01,28,26,0.07692307692307693,1.5,62.715555555555554,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,0,190,1,no_riskB
158,0.04430379746835443,0.15969605102589665,0.7767265846736046,3.6045680088702388,0.04430379746835443,0.04430379746835443,,,,0,7,0.15969605102589665,0.04430379746835443,3.6045680088702388,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,0,190,1,no_riskB
2711,0.04869052010328292,0.07559890619330975,0.6277891360287637,1.5526411718944149,0.050696529876753896,0.052589976834607755,0.01812538312795414,0.013389441469013007,1.353707185613489,35,97,0.07559890619330975,0.04869052010328292,1.5526411718944149,2711,132,1.0,0.008061124479760597,0.007575757575757576,0.037037037037037035,0.01,27,35,0.0,,,,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,19,200,0,no_regimesC
