n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,delta_days,n_monotone
2711,0.04869052010328292,0.08074290380477413,0.6067274137262506,1.6582879713238081,0.04784285707975718,0.04272362423437067,0.07415863482459167,0.013389441469013007,5.5385906123280755,35,97,0.08074290380477413,0.04869052010328292,1.6582879713238081,2711,132,1.0,0.030646125473213225,0.022727272727272728,0.1111111111111111,0.01,27,35,0.08571428571428572,0.0,0.0,0.0,0,60,90,2439,2711,0.06068060680606806,0.04869052010328292,1399,0,lightgbm,False,0.0,221,0,0,
2770,0.053429602888086646,0.06789867439835647,0.5476967241841384,1.2708062708341041,0.052922310147515764,0.04931863478277621,0.06612680751887932,0.01093926820067899,6.044902301122383,29,119,0.06789867439835647,0.053429602888086646,1.2708062708341041,2770,148,1.0,0.02879521153588812,0.02702702702702703,0.14285714285714285,0.01,28,29,0.13793103448275862,0.0,0.0,0.25,1,90,120,5108,2770,0.04757243539545811,0.053429602888086646,1441,0,lightgbm,False,0.0,221,0,0,
2838,0.04439746300211417,0.06227340470231225,0.6252516739242403,1.4026343059139852,0.04413518627106287,0.0414426459266354,0.03812258510736468,0.009857612267250822,3.867324467002661,27,99,0.06227340470231225,0.04439746300211417,1.4026343059139852,2838,126,1.0,0.0015328098908450073,0.007936507936507936,0.03571428571428571,0.01,28,27,0.037037037037037035,0.0,0.0,0.0,2,120,150,7879,2838,0.051021703261835256,0.04439746300211417,1440,0,lightgbm,False,0.0,221,0,0,
2813,0.03590472804834696,0.06024435485680869,0.6582150471684337,1.677894754576266,0.035573213357272634,0.032274220475210565,0.051336297166947875,0.009495982468955442,5.406106986273203,26,75,0.06024435485680869,0.03590472804834696,1.677894754576266,2813,101,1.0,0.06055672786291429,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,0.0,0.0,0.0,3,150,180,10734,2813,0.05170486305198435,0.03590472804834696,1423,0,lightgbm,False,0.0,221,0,0,
158,0.04430379746835443,0.09642050496087762,0.7596972563859982,2.1763485405455234,0.04419110860988666,0.043362820681188796,,,,0,7,0.09642050496087762,0.04430379746835443,2.1763485405455234,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,14521,158,0.04696646236485091,0.04430379746835443,449,0,lightgbm,False,0.0,221,0,0,
2711,0.04869052010328292,0.08604580027177766,0.6037429353637186,1.7671982161877975,0.04778876414966545,0.0425117516775555,0.0897221597379492,0.013389441469013007,6.700963587285691,35,97,0.08604580027177766,0.04869052010328292,1.7671982161877975,2711,132,1.0,0.030646125473213225,0.022727272727272728,0.1111111111111111,0.01,27,35,0.08571428571428572,0.0,0.0,0.0,0,60,90,2439,2711,0.06068060680606806,0.04869052010328292,1399,0,lightgbm,False,0.0,221,1,0,
2770,0.053429602888086646,0.06518202185353857,0.5348377553755128,1.2199608144209582,0.05293064715234486,0.049412619153168386,0.06465137220461607,0.01093926820067899,5.9100271625668,29,119,0.06518202185353857,0.053429602888086646,1.2199608144209582,2770,148,1.0,0.03980829589413531,0.033783783783783786,0.17857142857142858,0.01,28,29,0.1724137931034483,0.0,0.0,0.2,1,90,120,5108,2770,0.04757243539545811,0.053429602888086646,1441,0,lightgbm,False,0.0,221,1,0,
2838,0.04439746300211417,0.06393217426275455,0.630609987357775,1.439996115537281,0.044112801081226304,0.041446825687806076,0.039415821796600095,0.009857612267250822,3.9985161444773203,27,99,0.06393217426275455,0.04439746300211417,1.439996115537281,2838,126,1.0,0.0015328098908450073,0.007936507936507936,0.03571428571428571,0.01,28,27,0.037037037037037035,0.0,0.0,0.0,2,120,150,7879,2838,0.051021703261835256,0.04439746300211417,1440,0,lightgbm,False,0.0,221,1,0,
2813,0.03590472804834696,0.05653264378095222,0.6390227518327053,1.5745180886714711,0.03563500707961298,0.032776100071530916,0.051582031567777,0.009495982468955442,5.431984708945132,26,75,0.05653264378095222,0.03590472804834696,1.5745180886714711,2813,101,1.0,0.06055672786291429,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,0.0,0.0,0.0,3,150,180,10734,2813,0.05170486305198435,0.03590472804834696,1423,0,lightgbm,False,0.0,221,1,0,
158,0.04430379746835443,0.14449927779030303,0.7530747398297067,3.2615551272668397,0.0441662454927272,0.04334158753556565,,,,0,7,0.14449927779030303,0.04430379746835443,3.2615551272668397,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,14521,158,0.04696646236485091,0.04430379746835443,449,0,lightgbm,False,0.0,221,1,0,
