feature,monotone_violations,comparisons,violation_rate,max_violation,mean_slope,direction_ok
risk_card1,0,1320,0.0,0.0,0.0,True
risk_card2,0,1320,0.0,0.0,0.0013875836564635011,True
risk_addr1,1,1320,0.0007575757575757576,4.1897216663958634e-05,0.0010146836554242274,True
risk_P_emaildomain,0,1320,0.0,0.0,0.00011739397526294154,True
risk_R_emaildomain,0,1320,0.0,0.0,0.0,True
risk_DeviceInfo,0,1320,0.0,0.0,3.304970857929296e-05,True
risk_id_31,0,1320,0.0,0.0,4.5127769741181503e-05,True
risk_id_33,0,1320,0.0,0.0,6.062449781916212e-05,True
risk_ProductCD_card4,1,1320,0.0007575757575757576,0.00015967745744989784,0.0004166268659223652,True
risk_max,0,1320,0.0,0.0,0.00011228981989941374,True
risk_mean,0,1320,0.0,0.0,0.0004828635025701357,True
risk_prop,0,1320,0.0,0.0,0.0002648130624855587,True
mem_known_compromised,0,1320,0.0,0.0,0.0,True
mem_prior_fraud_count,0,1320,0.0,0.0,0.0,True
mem_prior_txn_count,0,1320,0.0,0.0,0.0,True
mem_days_since_first_fraud,0,1320,0.0,0.0,0.0,True
vel_txn_1d,0,1320,0.0,0.0,0.0,True
vel_txn_7d,0,1320,0.0,0.0,7.266852028506286e-06,True
