window,day_start,n,js_divergence,top_regime,nearest_fold_day,day_start_fold,auprc,auprc_lift,base_rate
0,0,25,0.0,3,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
1,7,57,0.18985306580958372,13,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
2,14,87,0.3128371236217985,4,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
3,21,93,0.36006211225760665,4,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
4,28,78,0.3354355704559988,4,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
5,35,77,0.38368847798418654,4,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
6,42,83,0.33442722289640703,4,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
7,49,92,0.39004107081699746,0,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
8,56,85,0.3108204673246051,0,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
9,63,91,0.3459074912690666,4,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
10,70,89,0.30401828437898054,4,60,60,0.06273701699808651,1.35438148460575,0.04632152588555858
11,77,80,0.41019207820569403,4,90,90,0.009209846114619743,0.8252022118699289,0.011160714285714286
12,84,91,0.3019563775572283,4,90,90,0.009209846114619743,0.8252022118699289,0.011160714285714286
13,91,88,0.31358785656397065,0,90,90,0.009209846114619743,0.8252022118699289,0.011160714285714286
14,98,111,0.29860350009002196,4,90,90,0.009209846114619743,0.8252022118699289,0.011160714285714286
15,105,102,0.3101213096361809,4,90,90,0.009209846114619743,0.8252022118699289,0.011160714285714286
16,112,107,0.36558749002441215,4,120,120,0.013273962489618766,1.6393343674679175,0.008097165991902834
17,119,128,0.36791213335090234,4,120,120,0.013273962489618766,1.6393343674679175,0.008097165991902834
18,126,118,0.3728813989018581,0,120,120,0.013273962489618766,1.6393343674679175,0.008097165991902834
19,133,120,0.3335164630054549,4,120,120,0.013273962489618766,1.6393343674679175,0.008097165991902834
20,140,100,0.2550026043410618,4,150,150,0.04760885927003975,2.437573594626035,0.01953125
21,147,117,0.3118361081192145,4,150,150,0.04760885927003975,2.437573594626035,0.01953125
22,154,121,0.3224708245226746,0,150,150,0.04760885927003975,2.437573594626035,0.01953125
23,161,117,0.33872013612359253,4,150,150,0.04760885927003975,2.437573594626035,0.01953125
24,168,114,0.3180377070216679,0,150,150,0.04760885927003975,2.437573594626035,0.01953125
25,175,114,0.3382849913587541,4,150,150,0.04760885927003975,2.437573594626035,0.01953125
