n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,rung,rung_label
622,0.03536977491961415,0.7160617014349892,0.9571212121212122,20.24501719511651,0.014326691486516661,0.012834994435657578,0.0885736234642664,0.014778325123152709,5.99348185441536,9,13,,0.0,,12,0,0.01929260450160772,0.2665935424716166,0.2727272727272727,1.0,0.01,6,9,0.2222222222222222,1.5,345.1383333333333,0.0,0,0,181,1863,622,0.027375201288244767,0.03536977491961415,0,0,lightgbm,False,0,221,0,rung0,All leaks open (random split + pre-split SMOTE)
622,0.03054662379421222,0.9065079315675347,0.9821942916993978,29.676207022895085,0.004685561785315144,0.0026879592538883107,0.12770621776959948,0.0049504950495049506,25.796655989459094,3,16,,0.0,,15,0,0.024115755627009645,0.55038489629036,0.3157894736842105,1.0,0.01,6,3,0.0,,,,1,0,181,1863,622,0.028985507246376812,0.03054662379421222,0,0,lightgbm,False,0,221,0,rung0,All leaks open (random split + pre-split SMOTE)
622,0.03376205787781351,0.902367010850692,0.9902543380080817,26.727251464244304,0.006291851281715455,0.0046801199220736145,0.10448504983388704,0.006611570247933884,15.803363787375416,4,17,,0.0,,6,0,0.00964630225080386,0.39962519495333376,0.2857142857142857,1.0,0.01,6,4,0.0,,,,2,1,181,1863,622,0.027911969940955447,0.03376205787781351,0,0,lightgbm,False,0,221,0,rung0,All leaks open (random split + pre-split SMOTE)
622,0.03536977491961415,0.6074281772490631,0.9464393939393939,17.1736511931326,0.028198485273385476,0.024489711980584396,0.3304121846543675,0.014778325123152709,22.3578911616122,9,13,,0.0,,12,0,0.01929260450160772,0.13263542234828812,0.2727272727272727,1.0,0.01,6,9,0.2222222222222222,0.5,217.83638888888888,0.0,0,0,181,1863,622,0.027375201288244767,0.03536977491961415,0,0,lightgbm,False,0,221,0,rung1,Close L1 (resample inside folds only)
622,0.03054662379421222,0.5709664490714785,0.957056821157371,18.69163849065577,0.022911231399450758,0.016833473527388024,0.4225108225108225,0.0049504950495049506,85.34718614718615,3,16,,0.0,,15,0,0.024115755627009645,0.1798808268143811,0.21052631578947367,0.6666666666666666,0.01,6,3,0.3333333333333333,0.0,0.0,0.0,1,0,181,1863,622,0.028985507246376812,0.03054662379421222,0,0,lightgbm,False,0,221,0,rung1,Close L1 (resample inside folds only)
622,0.03376205787781351,0.47498273201786234,0.9228270343078995,14.068536157862399,0.029236703640053343,0.0246950980724404,0.24027777777777776,0.006611570247933884,36.342013888888886,4,17,,0.0,,6,0,0.00964630225080386,0.1440219138424089,0.23809523809523808,0.8333333333333334,0.01,6,4,0.25,0.0,0.0,0.0,2,1,181,1863,622,0.027911969940955447,0.03376205787781351,0,0,lightgbm,False,0,221,0,rung1,Close L1 (resample inside folds only)
367,0.04632152588555858,0.17594727751067252,0.46117647058823524,3.7983912262598127,0.04599303881521756,0.045952660555313704,0.008110553421822137,0.0084985835694051,0.9543417859677381,3,14,0.008771615125206286,0.010050251256281407,0.8727757049580255,199,2,0.5422343324250681,0.21581568999066114,0.11764705882352941,0.5,0.01,4,3,0.0,,,,0,60,90,639,367,0.057902973395931145,0.04632152588555858,0,0,lightgbm,False,0,221,0,rung2,"Close L2 (chronological split, past-only encodings)"
448,0.011160714285714286,0.503416751315911,0.9476297968397291,45.10614091790563,0.009392773070828992,0.006001057018083855,,,,0,5,,0.0,,270,0,0.6026785714285714,0.20873787251486414,0.4,0.5,0.01,4,0,,,,,1,90,120,1006,448,0.0536779324055666,0.011160714285714286,0,0,lightgbm,False,0,221,0,rung2,"Close L2 (chronological split, past-only encodings)"
494,0.008097165991902834,0.010091635019655022,0.5255102040816326,1.2463169249273953,0.008094941710149848,0.004815552409494581,0.005411770932571187,0.0040650406504065045,1.3312956494125119,2,2,0.01732822025170577,0.014814814814814815,1.1696548669901394,270,4,0.5465587044534413,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,1454,494,0.0405777166437414,0.008097165991902834,0,0,lightgbm,False,0,221,0,rung2,"Close L2 (chronological split, past-only encodings)"
512,0.01953125,0.05164378107364786,0.754581673306773,2.6441615909707705,0.01933408788109734,0.0157657044718756,0.018783540398871684,0.005940594059405941,3.1618959671434,3,7,0.0741900715781223,0.034482758620689655,2.1515120757655466,290,10,0.56640625,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1948,512,0.03234086242299795,0.01953125,0,0,lightgbm,False,0,221,0,rung2,"Close L2 (chronological split, past-only encodings)"
367,0.04632152588555858,0.03645432571127075,0.38386554621848734,0.7869845609433157,0.06313237496156514,0.09396695907157454,0.007862186123055687,0.0084985835694051,0.9251172338128858,3,14,0.03645432571127075,0.04632152588555858,0.7869845609433157,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,452,367,0.05309734513274336,0.04632152588555858,187,0,lightgbm,False,0,221,0,rung3,Close L3 (entity-disjoint train/test)
448,0.011160714285714286,0.00997010539571428,0.33047404063205416,0.8933214434559995,0.012411175992618036,0.008065489485429967,,,,0,5,0.00997010539571428,0.011160714285714286,0.8933214434559995,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,836,448,0.05263157894736842,0.011160714285714286,170,0,lightgbm,False,0,221,0,rung3,Close L3 (entity-disjoint train/test)
494,0.008097165991902834,0.007674651367191133,0.35969387755102045,0.9478194438481049,0.00816229279037525,0.0020272671189649743,0.004648628832700278,0.0040650406504065045,1.1435626928442681,2,2,0.007674651367191133,0.008097165991902834,0.9478194438481049,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,1209,494,0.04880066170388751,0.008097165991902834,245,0,lightgbm,False,0,221,0,rung3,Close L3 (entity-disjoint train/test)
512,0.01953125,0.038509201364486864,0.6557768924302789,1.9716711098617274,0.019437044275417086,0.013584683305972435,0.01754208754208754,0.005940594059405941,2.9529180695847357,3,7,0.038509201364486864,0.01953125,1.9716711098617274,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1705,512,0.03695014662756598,0.01953125,243,0,lightgbm,False,0,221,0,rung3,Close L3 (entity-disjoint train/test)
367,0.04632152588555858,0.06273701699808651,0.5121008403361345,1.35438148460575,0.044719445451398936,0.020417083463481235,0.047723132969034604,0.0084985835694051,5.615421979356404,3,14,0.06273701699808651,0.04632152588555858,1.35438148460575,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,lightgbm,False,0,221,0,rung4,Close L4 (only labels matured past delta)
448,0.011160714285714286,0.009209846114619743,0.3142212189616253,0.8252022118699289,0.023201030554873735,0.07153712689623064,,,,0,5,0.009209846114619743,0.011160714285714286,0.8252022118699289,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,lightgbm,False,0,221,0,rung4,Close L4 (only labels matured past delta)
494,0.008097165991902834,0.013273962489618766,0.5928571428571429,1.6393343674679175,0.008317737904935485,0.005899957893090484,0.012273053033922598,0.0040650406504065045,3.019171046344959,2,2,0.013273962489618766,0.008097165991902834,1.6393343674679175,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,lightgbm,False,0,221,0,rung4,Close L4 (only labels matured past delta)
512,0.01953125,0.04760885927003975,0.6719123505976096,2.437573594626035,0.019317553429180928,0.01375244183341919,0.01627906976744186,0.005940594059405941,2.74031007751938,3,7,0.04760885927003975,0.01953125,2.437573594626035,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,lightgbm,False,0,221,0,rung4,Close L4 (only labels matured past delta)
