n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,n_monotone
367,0.04632152588555858,0.03912689684435769,0.3626890756302521,0.8446806554046631,0.1558218653578366,0.2304400304306089,0.015853251018884525,0.0084985835694051,1.865399203222079,3,14,0.03912689684435769,0.04632152588555858,0.8446806554046631,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,logreg,False,0.0,221,0,
448,0.011160714285714286,0.00910900425281973,0.3069977426636569,0.8161667810526478,0.24659226169290283,0.33439792094176946,,,,0,5,0.00910900425281973,0.011160714285714286,0.8161667810526478,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,logreg,False,0.0,221,0,
494,0.008097165991902834,0.09000977835723598,0.8617346938775511,11.116207627118643,0.08443050194504202,0.14255131363281306,0.13347457627118645,0.0040650406504065045,32.83474576271186,2,2,0.09000977835723598,0.008097165991902834,11.116207627118643,494,4,1.0,0.32234517272956875,0.25,0.2,0.01,5,2,0.5,0.0,0.0,0.0,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,logreg,False,0.0,221,0,
512,0.01953125,0.02682062488494416,0.551195219123506,1.373215994109141,0.028280850750635952,0.03357954431888107,0.009634449207321222,0.005940594059405941,1.6217989498990724,3,7,0.02682062488494416,0.01953125,1.373215994109141,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,logreg,False,0.0,221,0,
367,0.04632152588555858,0.06438409767870608,0.5383193277310924,1.3899390498873607,0.04923899817466002,0.051723286071757565,0.008512426296357525,0.0084985835694051,1.0016288275380687,3,14,0.06438409767870608,0.04632152588555858,1.3899390498873607,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,mlp,False,0.0,221,0,
448,0.011160714285714286,0.009823018936587966,0.35440180586907455,0.8801424967182817,0.09492493425495017,0.25919171251029605,,,,0,5,0.009823018936587966,0.011160714285714286,0.8801424967182817,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,mlp,False,0.0,221,0,
494,0.008097165991902834,0.019669818699588025,0.6244897959183673,2.429222609399121,0.1016520332053451,0.2856083226549419,0.004758517916412653,0.0040650406504065045,1.1705954074375124,2,2,0.019669818699588025,0.008097165991902834,2.429222609399121,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,mlp,False,0.0,221,0,
512,0.01953125,0.016682611904410574,0.3964143426294821,0.8541497295058214,0.02519121316820356,0.05202923292971654,0.005858361871910526,0.005940594059405941,0.9861575817716052,3,7,0.016682611904410574,0.01953125,0.8541497295058214,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,mlp,False,0.0,221,0,
367,0.04632152588555858,0.06273701699808651,0.5121008403361345,1.35438148460575,0.044719445451398936,0.020417083463481235,0.047723132969034604,0.0084985835694051,5.615421979356404,3,14,0.06273701699808651,0.04632152588555858,1.35438148460575,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,lightgbm,False,0.0,221,0,
448,0.011160714285714286,0.009209846114619743,0.3142212189616253,0.8252022118699289,0.023201030554873735,0.07153712689623064,,,,0,5,0.009209846114619743,0.011160714285714286,0.8252022118699289,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,lightgbm,False,0.0,221,0,
