n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,n_monotone,n_features,seed,ablation
367,0.04632152588555858,0.10405738296497292,0.6884033613445378,2.246415267537945,0.051791186388538676,0.052004964401601426,0.05416666666666667,0.0084985835694051,6.373611111111111,3,14,0.10405738296497292,0.04632152588555858,2.246415267537945,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,halo,19,221,0,full
448,0.011160714285714286,0.008648332669580054,0.2672686230248307,0.7748906071943729,0.03303893863270198,0.048722199134620094,,,,0,5,0.008648332669580054,0.011160714285714286,0.7748906071943729,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,halo,19,221,0,full
494,0.008097165991902834,0.014715659403649235,0.6413265306122449,1.8173839363506805,0.00822546441748204,0.00891494246544518,0.01628327733264409,0.0040650406504065045,4.0056862238304465,2,2,0.014715659403649235,0.008097165991902834,1.8173839363506805,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,halo,19,221,0,full
512,0.01953125,0.09494181701733291,0.6382470119521912,4.861021031287445,0.01953125,0.01953125,0.046079958463136034,0.005940594059405941,7.756793007961233,3,7,0.09494181701733291,0.01953125,4.861021031287445,512,10,1.0,0.16201295781434757,0.1,0.2,0.01,5,3,0.3333333333333333,1.0,77.31333333333333,0.0,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,halo,19,221,0,full
367,0.04632152588555858,0.1123866886016019,0.702016806722689,2.426230277458112,0.04806851019296891,0.04914791590051588,0.06089418831873778,0.0084985835694051,7.1652161588381444,3,14,0.1123866886016019,0.04632152588555858,2.426230277458112,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,halo,0,190,0,no_riskB
448,0.011160714285714286,0.008442980440281524,0.24966139954853273,0.7564910474492246,0.03102572789396496,0.04593116994288882,,,,0,5,0.008442980440281524,0.011160714285714286,0.7564910474492246,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,halo,0,190,0,no_riskB
494,0.008097165991902834,0.010531388353729411,0.5198979591836734,1.3006264616855823,0.008198067232463498,0.008563845600865112,0.009670781893004115,0.0040650406504065045,2.379012345679012,2,2,0.010531388353729411,0.008097165991902834,1.3006264616855823,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,halo,0,190,0,no_riskB
512,0.01953125,0.04668444285781863,0.6276892430278885,2.3902434743203136,0.01963227935340672,0.019975460486000164,0.02272919381883874,0.005940594059405941,3.8260809595045213,3,7,0.04668444285781863,0.01953125,2.3902434743203136,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,halo,0,190,0,no_riskB
367,0.04632152588555858,0.10519024606253617,0.6934453781512605,2.2708717826441633,0.0490962150421023,0.050819113945163724,0.05480170435922648,0.0084985835694051,6.448333879602315,3,14,0.10519024606253617,0.04632152588555858,2.2708717826441633,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,halo,19,200,0,no_regimesC
448,0.011160714285714286,0.008702879572215138,0.272686230248307,0.7797780096704764,0.03305357150369775,0.04663964151542546,,,,0,5,0.008702879572215138,0.011160714285714286,0.7797780096704764,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,halo,19,200,0,no_regimesC
494,0.008097165991902834,0.019852799883379606,0.6545918367346939,2.4518207855973815,0.008106419548245695,0.007904438937486907,0.02514792899408284,0.0040650406504065045,6.186390532544378,2,2,0.019852799883379606,0.008097165991902834,2.4518207855973815,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,halo,19,200,0,no_regimesC
512,0.01953125,0.047301053960478914,0.6480079681274901,2.4218139627765205,0.01953125,0.01953125,0.01751646770697045,0.005940594059405941,2.9486053973400255,3,7,0.047301053960478914,0.01953125,2.4218139627765205,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,halo,19,200,0,no_regimesC
367,0.04632152588555858,0.10405738296497292,0.6884033613445378,2.246415267537945,0.051791186388538676,0.052004964401601426,0.05416666666666667,0.0084985835694051,6.373611111111111,3,14,0.10405738296497292,0.04632152588555858,2.246415267537945,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,halo,15,221,0,no_entity_memory
448,0.011160714285714286,0.008648332669580054,0.2672686230248307,0.7748906071943729,0.03303893863270198,0.048722199134620094,,,,0,5,0.008648332669580054,0.011160714285714286,0.7748906071943729,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,halo,15,221,0,no_entity_memory
494,0.008097165991902834,0.014673757460114465,0.6576530612244897,1.8122090463241363,0.008111006485300184,0.008137832641267285,0.012967139175257731,0.0040650406504065045,3.1899162371134016,2,2,0.014673757460114465,0.008097165991902834,1.8122090463241363,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,halo,15,221,0,no_entity_memory
512,0.01953125,0.06294926417285593,0.6173306772908367,3.2230023256502234,0.01953125,0.01953125,0.032058418150975404,0.005940594059405941,5.396500388747526,3,7,0.06294926417285593,0.01953125,3.2230023256502234,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,halo,15,221,0,no_entity_memory
367,0.04632152588555858,0.10405738296497292,0.6884033613445378,2.246415267537945,0.051791186388538676,0.052004964401601426,0.05416666666666667,0.0084985835694051,6.373611111111111,3,14,0.10405738296497292,0.04632152588555858,2.246415267537945,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,halo,0,221,0,no_monotoneD
448,0.011160714285714286,0.008551224701919873,0.2604966139954854,0.7661897332920206,0.029013686374031764,0.04161325425564344,,,,0,5,0.008551224701919873,0.011160714285714286,0.7661897332920206,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,halo,0,221,0,no_monotoneD
494,0.008097165991902834,0.020243366898292293,0.7612244897959184,2.5000558119390983,0.008214382142038863,0.008468050262796758,0.01827436582109479,0.0040650406504065045,4.495493991989318,2,2,0.020243366898292293,0.008097165991902834,2.5000558119390983,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,976,494,0.055327868852459015,0.008097165991902834,30,448,halo,0,221,0,no_monotoneD
512,0.01953125,0.06295642577742402,0.6252988047808765,3.22336899980411,0.01953125,0.01953125,0.022695400972808935,0.005940594059405941,3.8203924970895042,3,7,0.06295642577742402,0.01953125,3.22336899980411,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1411,512,0.041814316087880936,0.01953125,43,494,halo,0,221,0,no_monotoneD
367,0.04632152588555858,0.09990234710827683,0.6937815126050421,2.156715375808094,0.04748378228054173,0.04810110762236986,0.056781890763926694,0.0084985835694051,6.681335813222041,3,14,0.09990234710827683,0.04632152588555858,2.156715375808094,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,250,367,0.028,0.04632152588555858,32,357,halo,0,169,0,behaviour_only
448,0.011160714285714286,0.009061623152202668,0.3033860045146727,0.8119214344373591,0.03422391393783314,0.052164058911227634,,,,0,5,0.009061623152202668,0.011160714285714286,0.8119214344373591,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,616,448,0.060064935064935064,0.011160714285714286,23,367,halo,0,169,0,behaviour_only
