delta_days,model,n_mean,n_std,base_rate_mean,base_rate_std,auprc_mean,auprc_std,auroc_mean,auroc_std,auprc_lift_mean,auprc_lift_std,brier_mean,brier_std,ece_mean,ece_std,index_auprc_mean,index_auprc_std,index_base_rate_mean,index_base_rate_std,index_auprc_lift_mean,index_auprc_lift_std,n_index_positives_mean,n_index_positives_std,n_masked_propagated_mean,n_masked_propagated_std,cold_entity_auprc_mean,cold_entity_auprc_std,cold_base_rate_mean,cold_base_rate_std,cold_entity_auprc_lift_mean,cold_entity_auprc_lift_std,n_cold_rows_mean,n_cold_rows_std,cold_positive_count_mean,cold_positive_count_std,cold_row_share_mean,cold_row_share_std,dollar_recall_at_k_mean,dollar_recall_at_k_std,count_recall_at_k_mean,count_recall_at_k_std,alert_precision_at_k_mean,alert_precision_at_k_std,k_mean,k_std,n_reviewed_mean,n_reviewed_std,ttd_n_entities_mean,ttd_n_entities_std,ttd_detected_share_mean,ttd_detected_share_std,ttd_median_txn_mean,ttd_median_txn_std,ttd_median_hours_mean,ttd_median_hours_std,ttd_early_share_mean,ttd_early_share_std,fold_id_mean,fold_id_std,test_day_start_mean,test_day_start_std,test_day_end_mean,test_day_end_std,n_train_mean,n_train_std,n_test_mean,n_test_std,train_base_rate_mean,train_base_rate_std,test_base_rate_mean,test_base_rate_std,dropped_entity_rows_mean,dropped_entity_rows_std,label_maturity_dropped_mean,label_maturity_dropped_std,tuning_budget_mean,tuning_budget_std,n_features_mean,n_features_std,seed_mean,seed_std,n_monotone_mean,n_monotone_std
0,halo,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.023164084406276278,0.017447534550544555,0.41961565253029165,0.17576189710861784,1.1348301986919513,0.6127451255487173,0.04579493081953402,0.06468783727678078,0.05636212205596505,0.08349384799985564,0.010271396225018143,0.004761195226878735,0.006168072759739181,0.002225507947184108,1.6370553691239451,0.5405943167394128,2.0,1.4142135623730951,7.0,5.0990195135927845,0.023164084406276278,0.017447534550544555,0.021277664040793925,0.01738124640012111,1.1348301986919513,0.6127451255487173,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,1050.5,534.6977339269979,455.25,64.71153941402828,0.04786993310289132,0.007530097389221434,0.021277664040793925,0.01738124640012111,211.25,38.45668559128136,0.0,0.0,,,221.0,0.0,0.0,0.0,19.0,0.0
0,lightgbm,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.023152070959665757,0.016594237645620628,0.4324525892079602,0.15047469294183785,1.149949139527287,0.5518708997894256,0.025785722004993877,0.025328126225551632,0.02941109974548548,0.0432952799480427,0.010017634165947835,0.00671154129629508,0.006168072759739181,0.002225507947184108,1.6738659987472966,1.1130634548748846,2.0,1.4142135623730951,7.0,5.0990195135927845,0.023152070959665757,0.016594237645620628,0.021277664040793925,0.01738124640012111,1.149949139527287,0.5518708997894256,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,1050.5,534.6977339269979,455.25,64.71153941402828,0.04786993310289132,0.007530097389221434,0.021277664040793925,0.01738124640012111,211.25,38.45668559128136,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,,
7,halo,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.025499991211718386,0.020144016022045692,0.44131223413344367,0.18566025401002495,1.2518156514865326,0.7924762656450276,0.04271378750821,0.05802478071966404,0.05185382956044659,0.07397731209575248,0.011842128826472146,0.008246948304329038,0.006168072759739181,0.002225507947184108,1.931267997316441,1.348104862566082,2.0,1.4142135623730951,7.0,5.0990195135927845,0.025499991211718386,0.020144016022045692,0.021277664040793925,0.01738124640012111,1.2518156514865326,0.7924762656450276,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,1024.25,535.3343970516622,455.25,64.71153941402828,0.0462993838010421,0.006761692869440611,0.021277664040793925,0.01738124640012111,143.5,26.248809496813372,94.0,16.792855623746664,,,221.0,0.0,0.0,0.0,19.0,0.0
7,lightgbm,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.024072857558899492,0.01724828993709195,0.46141684861420396,0.15491269561031584,1.2210610898119807,0.6342220517787521,0.027315780138069127,0.02740665936723386,0.03312778155859509,0.04493331958798885,0.010091336233912352,0.0054638759114397735,0.006168072759739181,0.002225507947184108,1.687712766132078,0.8913784127275124,2.0,1.4142135623730951,7.0,5.0990195135927845,0.024072857558899492,0.01724828993709195,0.021277664040793925,0.01738124640012111,1.2210610898119807,0.6342220517787521,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,1024.25,535.3343970516622,455.25,64.71153941402828,0.0462993838010421,0.006761692869440611,0.021277664040793925,0.01738124640012111,143.5,26.248809496813372,94.0,16.792855623746664,0.0,0.0,221.0,0.0,0.0,0.0,,
30,halo,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.05559079801388378,0.05089821399105604,0.5588113817334511,0.19571239994584838,2.424927710592611,1.737637211816696,0.028146709859680673,0.01874457558204847,0.03229333900041667,0.021353188376030827,0.0388433008208156,0.01995155901759058,0.006168072759739181,0.002225507947184108,6.045363447634263,1.8969740174608372,2.0,1.4142135623730951,7.0,5.0990195135927845,0.05559079801388378,0.05089821399105604,0.021277664040793925,0.01738124640012111,2.424927710592611,1.737637211816696,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.040503239453586894,0.08100647890717379,0.025,0.05,0.05,0.1,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.1111111111111111,0.19245008972987526,1.0,,77.31333333333333,,0.0,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,,,221.0,0.0,0.0,0.0,19.0,0.0
30,lightgbm,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.03320742121809119,0.026157375203566684,0.5227728881881281,0.15358176252712682,1.5641229146424078,0.6729457941170748,0.023888941835097273,0.015250607492060196,0.027901652521555385,0.02968921312255519,0.02542508525679969,0.019414279315754623,0.006168072759739181,0.002225507947184108,3.7916343677402478,1.5855887862863465,2.0,1.4142135623730951,7.0,5.0990195135927845,0.03320742121809119,0.026157375203566684,0.021277664040793925,0.01738124640012111,1.5641229146424078,0.6729457941170748,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,0.0,0.0,221.0,0.0,0.0,0.0,,
60,halo,484.6666666666667,33.005050118630834,0.012929710092539041,0.005918748085488899,0.026846252109839402,0.022492773584044296,0.5829752671260873,0.16023845388076424,1.8338004671880739,0.8281321410066711,0.018977330662375263,0.005018088088471593,0.025803945699351457,0.014322921829250183,0.011683824632198391,0.008355319759942132,0.005002817354906222,0.0013262165339810478,2.191067659659062,1.0892841405227107,1.6666666666666667,1.5275252316519468,4.666666666666667,2.516611478423583,0.026846252109839402,0.022492773584044296,0.012929710092539041,0.005918748085488899,1.8338004671880739,0.8281321410066711,484.6666666666667,33.005050118630834,6.333333333333333,3.2145502536643185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.666666666666667,0.5773502691896257,1.6666666666666667,1.5275252316519468,0.0,0.0,,,,,,,1.0,1.0,120.0,30.0,150.0,30.0,639.6666666666666,362.0460375882235,484.6666666666667,33.005050118630834,0.04569806401923582,0.018156162636013808,0.012929710092539041,0.005918748085488899,2.6666666666666665,2.8867513459481287,827.0,109.49429208867465,,,221.0,0.0,0.0,0.0,19.0,0.0
60,lightgbm,484.6666666666667,33.005050118630834,0.012929710092539041,0.005918748085488899,0.03480555603091457,0.032057198908975015,0.5509199271157565,0.23771008725267487,2.3016665071905247,1.3854619048185224,0.017431905429542486,0.005516131019520828,0.028804801064475024,0.043789994399662385,0.01491234564437628,0.01433520007731774,0.005002817354906222,0.0013262165339810478,2.695706188668188,2.150810072768018,1.6666666666666667,1.5275252316519468,4.666666666666667,2.516611478423583,0.03480555603091457,0.032057198908975015,0.012929710092539041,0.005918748085488899,2.3016665071905247,1.3854619048185224,484.6666666666667,33.005050118630834,6.333333333333333,3.2145502536643185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.666666666666667,0.5773502691896257,1.6666666666666667,1.5275252316519468,0.0,0.0,,,,,,,1.0,1.0,120.0,30.0,150.0,30.0,639.6666666666666,362.0460375882235,484.6666666666667,33.005050118630834,0.04569806401923582,0.018156162636013808,0.012929710092539041,0.005918748085488899,2.6666666666666665,2.8867513459481287,827.0,109.49429208867465,0.0,0.0,221.0,0.0,0.0,0.0,,
120,halo,512.0,,0.01953125,,0.0164468281131128,,0.36812749003984063,,0.8420775993913754,,0.02225111867019758,,0.02509075188021505,,0.006538017994329265,,0.005940594059405941,,1.1005663623787596,,3.0,,7.0,,0.0164468281131128,,0.01953125,,0.8420775993913754,,512.0,,10.0,,1.0,,0.0,,0.0,,0.0,,0.01,,5.0,,3.0,,0.0,,,,,,,,0.0,,150.0,,180.0,,282.0,,512.0,,0.024822695035460994,,0.01953125,,0.0,,1666.0,,,,221.0,,0.0,,19.0,
120,lightgbm,512.0,,0.01953125,,0.012820039171766428,,0.21673306772908366,,0.656386005594441,,0.020084241431582193,,0.01407561008858569,,0.004409354561505637,,0.005940594059405941,,0.7422413511867822,,3.0,,7.0,,0.012820039171766428,,0.01953125,,0.656386005594441,,512.0,,10.0,,1.0,,0.0,,0.0,,0.0,,0.01,,5.0,,3.0,,0.0,,,,,,,,0.0,,150.0,,180.0,,282.0,,512.0,,0.024822695035460994,,0.01953125,,0.0,,1666.0,,0.0,,221.0,,0.0,,,
