n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,delta_days,n_monotone
367,0.04632152588555858,0.03645432571127075,0.38386554621848734,0.7869845609433157,0.06313237496156514,0.09396695907157454,0.007862186123055687,0.0084985835694051,0.9251172338128858,3,14,0.03645432571127075,0.04632152588555858,0.7869845609433157,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,452,367,0.05309734513274336,0.04632152588555858,187,0,lightgbm,False,0.0,221,0,0,
448,0.011160714285714286,0.00997010539571428,0.33047404063205416,0.8933214434559995,0.012411175992618036,0.008065489485429967,,,,0,5,0.00997010539571428,0.011160714285714286,0.8933214434559995,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,836,448,0.05263157894736842,0.011160714285714286,170,0,lightgbm,False,0.0,221,0,0,
494,0.008097165991902834,0.007674651367191133,0.35969387755102045,0.9478194438481049,0.00816229279037525,0.0020272671189649743,0.004648628832700278,0.0040650406504065045,1.1435626928442681,2,2,0.007674651367191133,0.008097165991902834,0.9478194438481049,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,1209,494,0.04880066170388751,0.008097165991902834,245,0,lightgbm,False,0.0,221,0,0,
512,0.01953125,0.038509201364486864,0.6557768924302789,1.9716711098617274,0.019437044275417086,0.013584683305972435,0.01754208754208754,0.005940594059405941,2.9529180695847357,3,7,0.038509201364486864,0.01953125,1.9716711098617274,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1705,512,0.03695014662756598,0.01953125,243,0,lightgbm,False,0.0,221,0,0,
367,0.04632152588555858,0.0363696184888011,0.37815126050420167,0.7851558814935298,0.14255290144108515,0.18133918349681225,0.012773653871289047,0.0084985835694051,1.5030332721883444,3,14,0.0363696184888011,0.04632152588555858,0.7851558814935298,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,452,367,0.05309734513274336,0.04632152588555858,187,0,halo,,,221,0,0,19.0
448,0.011160714285714286,0.00890609997204599,0.27900677200902935,0.7979865574953207,0.012640702605247007,0.014650288121397298,,,,0,5,0.00890609997204599,0.011160714285714286,0.7979865574953207,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,836,448,0.05263157894736842,0.011160714285714286,170,0,halo,,,221,0,0,19.0
494,0.008097165991902834,0.007334587200123717,0.3454081632653061,0.9058215192152791,0.008097165991902834,0.008097165991902834,0.004780808710939715,0.0040650406504065045,1.1760789428911698,2,2,0.007334587200123717,0.008097165991902834,0.9058215192152791,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,1209,494,0.04880066170388751,0.008097165991902834,245,0,halo,,,221,0,0,19.0
512,0.01953125,0.040046031964134296,0.6758964143426295,2.050356836563676,0.0198889532399011,0.02136185061374782,0.01325972609282567,0.005940594059405941,2.232053892292321,3,7,0.040046031964134296,0.01953125,2.050356836563676,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1705,512,0.03695014662756598,0.01953125,243,0,halo,,,221,0,0,19.0
367,0.04632152588555858,0.03553208696505883,0.3657142857142857,0.7670750538927407,0.06786410789096263,0.09998267894292981,0.008854719852599939,0.0084985835694051,1.0419053693225928,3,14,0.03553208696505883,0.04632152588555858,0.7670750538927407,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,424,367,0.04481132075471698,0.04632152588555858,132,83,lightgbm,False,0.0,221,0,7,
448,0.011160714285714286,0.010101857199849233,0.36839729119638825,0.9051264051064912,0.013602264267530629,0.015543520659426265,,,,0,5,0.010101857199849233,0.011160714285714286,0.9051264051064912,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,815,448,0.05276073619631902,0.011160714285714286,112,79,lightgbm,False,0.0,221,0,7,
494,0.008097165991902834,0.008552968373850186,0.42091836734693877,1.056291594170498,0.00837144161423391,0.0028167130518450653,0.005351750722775458,0.0040650406504065045,1.3165306778027626,2,2,0.008552968373850186,0.008097165991902834,1.056291594170498,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,1176,494,0.050170068027210885,0.008097165991902834,162,116,lightgbm,False,0.0,221,0,7,
512,0.01953125,0.04210451769683972,0.6906374501992032,2.1557513060781934,0.019425306779549335,0.014168213580179206,0.016067538126361657,0.005940594059405941,2.704702251270879,3,7,0.04210451769683972,0.01953125,2.1557513060781934,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1682,512,0.03745541022592152,0.01953125,168,98,lightgbm,False,0.0,221,0,7,
367,0.04632152588555858,0.03744802170884608,0.4,0.8084367039497947,0.12944823804825636,0.16255512631788727,0.010421594210945163,0.0084985835694051,1.2262742521545476,3,14,0.03744802170884608,0.04632152588555858,0.8084367039497947,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,424,367,0.04481132075471698,0.04632152588555858,132,83,halo,,,221,0,7,19.0
