feature,monotone_violations,comparisons,violation_rate,max_violation,mean_slope,direction_ok
risk_card2,0,1320,0.0,0.0,0.0,True
risk_addr1,0,1320,0.0,0.0,6.595207810079499e-05,True
risk_P_emaildomain,0,1320,0.0,0.0,0.0,True
risk_R_emaildomain,0,1320,0.0,0.0,0.00012542388496798948,True
risk_DeviceInfo,0,1320,0.0,0.0,4.215271888816839e-05,True
risk_id_31,0,1320,0.0,0.0,9.449950342053038e-05,True
risk_id_33,0,1320,0.0,0.0,0.0011510172976525615,True
risk_ProductCD_card4,0,1320,0.0,0.0,0.0004397497848286988,True
risk_max,0,1320,0.0,0.0,0.0,True
risk_mean,0,1320,0.0,0.0,0.0,True
risk_prop,0,1320,0.0,0.0,0.0,True
mem_known_compromised,0,1320,0.0,0.0,0.0,True
mem_prior_fraud_count,0,1320,0.0,0.0,0.0,True
mem_prior_txn_count,0,1320,0.0,0.0,0.0,True
mem_days_since_first_fraud,0,1320,0.0,0.0,0.0,True
vel_txn_1d,0,1320,0.0,0.0,0.0,True
vel_txn_7d,0,1320,0.0,0.0,0.0,True
